id,pid,series_tag,name
kw168532449,168532449,SIBILLA Liscio,SIBILLA Liscio フクシア
kw168532457,168532457,SIBILLA Liscio,SIBILLA Liscio マスタード
kw168532516,168532516,SIBILLA Liscio,SIBILLA Liscio マリーネ
kw186289162,186289162,AVANCORPI,AVANCORPI ナチュラル
kw191060393,191060393,AVANCORPI,AVANCORPI ブラウン
kw191473385,191473385,AVANCORPI,AVANCORPI ブラック
kw155709863,155709863,HORSE BUTT,ホースバット ナチュラル
kw159561041,159561041,HORSE BUTT,ホースバット 茶芯ブラック
kw171930317,171930317,SHELL CORDOVAN,シェルコードバン(ROCADO/CLASSIC) ウィスキー
kw171930324,171930324,SHELL CORDOVAN,シェルコードバン(ROCADO/CLASSIC) コニャック
kw171930332,171930332,SHELL CORDOVAN,シェルコードバン(ROCADO/CLASSIC) シエナ
kw171930342,171930342,SHELL CORDOVAN,シェルコードバン(ROCADO/CLASSIC) ダークバーガンディ
kw171930338,171930338,SHELL CORDOVAN,シェルコードバン(ROCADO/CLASSIC) ダークブラウン
kw171930351,171930351,SHELL CORDOVAN,シェルコードバン(ROCADO/CLASSIC) ピンク
kw171930369,171930369,SHELL CORDOVAN,シェルコードバン(ROCADO/CLASSIC) ブラック
kw171930365,171930365,SHELL CORDOVAN,シェルコードバン(ROCADO/CLASSIC) ブルー
kw171930360,171930360,SHELL CORDOVAN,シェルコードバン(ROCADO/CLASSIC) ペトロリオ
kw171930353,171930353,SHELL CORDOVAN,シェルコードバン(ROCADO/CLASSIC) レッド
kw171930418,171930418,SHELL CORDOVAN,シェルコードバン(ROCADO/MARBLED) グリーン
kw171930394,171930394,SHELL CORDOVAN,シェルコードバン(ROCADO/MARBLED) シエナ
kw171930424,171930424,SHELL CORDOVAN,シェルコードバン(ROCADO/MARBLED) トルケーゼ
kw171930400,171930400,SHELL CORDOVAN,シェルコードバン(ROCADO/MARBLED) バーガンディ
kw171930407,171930407,SHELL CORDOVAN,シェルコードバン(ROCADO/MARBLED) ピンク
